#nch:  1024 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.111182E+01 0.371000E+03 0.192614E+02
  0.112061E+01 0.237000E+03 0.153948E+02
  0.112939E+01 0.243000E+03 0.155885E+02
  0.113818E+01 0.239000E+03 0.154596E+02
  0.114697E+01 0.337000E+03 0.183576E+02
  0.115576E+01 0.388000E+03 0.196977E+02
  0.116455E+01 0.283000E+03 0.168226E+02
  0.117334E+01 0.226000E+03 0.150333E+02
  0.118213E+01 0.216000E+03 0.146969E+02
  0.119092E+01 0.320000E+03 0.178885E+02
  0.119971E+01 0.264000E+03 0.162481E+02
  0.120850E+01 0.253000E+03 0.159060E+02
  0.121729E+01 0.228000E+03 0.150997E+02
  0.122607E+01 0.236000E+03 0.153623E+02
  0.123486E+01 0.336000E+03 0.183303E+02
  0.124365E+01 0.432000E+03 0.207846E+02
  0.125244E+01 0.269000E+03 0.164012E+02
  0.126123E+01 0.285000E+03 0.168819E+02
  0.127002E+01 0.291000E+03 0.170587E+02
  0.127881E+01 0.316000E+03 0.177764E+02
  0.128760E+01 0.312000E+03 0.176635E+02
  0.129639E+01 0.284000E+03 0.168523E+02
  0.130518E+01 0.241000E+03 0.155242E+02
  0.131396E+01 0.263000E+03 0.162173E+02
  0.132275E+01 0.408000E+03 0.201990E+02
  0.133154E+01 0.261000E+03 0.161555E+02
  0.134033E+01 0.205000E+03 0.143178E+02
  0.134912E+01 0.200000E+03 0.141421E+02
  0.135791E+01 0.251000E+03 0.158430E+02
  0.136670E+01 0.299000E+03 0.172916E+02
  0.137549E+01 0.311000E+03 0.176352E+02
  0.138428E+01 0.272000E+03 0.164924E+02
  0.139307E+01 0.225000E+03 0.150000E+02
  0.140186E+01 0.361000E+03 0.190000E+02
  0.141064E+01 0.371000E+03 0.192614E+02
  0.141943E+01 0.330000E+03 0.181659E+02
  0.142822E+01 0.240000E+03 0.154919E+02
  0.143701E+01 0.242000E+03 0.155563E+02
  0.144580E+01 0.277000E+03 0.166433E+02
  0.145459E+01 0.341000E+03 0.184662E+02
  0.146338E+01 0.371000E+03 0.192614E+02
  0.147217E+01 0.270000E+03 0.164317E+02
  0.148096E+01 0.249000E+03 0.157797E+02
  0.148975E+01 0.259000E+03 0.160935E+02
  0.149854E+01 0.377000E+03 0.194165E+02
  0.150732E+01 0.376000E+03 0.193907E+02
  0.151611E+01 0.285000E+03 0.168819E+02
  0.152490E+01 0.330000E+03 0.181659E+02
  0.153369E+01 0.350000E+03 0.187083E+02
  0.154248E+01 0.376000E+03 0.193907E+02
  0.155127E+01 0.360000E+03 0.189737E+02
  0.156006E+01 0.279000E+03 0.167033E+02
  0.156885E+01 0.304000E+03 0.174356E+02
  0.157764E+01 0.334000E+03 0.182757E+02
  0.158643E+01 0.370000E+03 0.192354E+02
  0.159521E+01 0.279000E+03 0.167033E+02
  0.160400E+01 0.263000E+03 0.162173E+02
  0.161279E+01 0.293000E+03 0.171172E+02
  0.162158E+01 0.342000E+03 0.184932E+02
  0.163037E+01 0.451000E+03 0.212368E+02
  0.163916E+01 0.360000E+03 0.189737E+02
  0.164795E+01 0.331000E+03 0.181934E+02
  0.165674E+01 0.359000E+03 0.189473E+02
  0.166553E+01 0.385000E+03 0.196214E+02
  0.167432E+01 0.428000E+03 0.206882E+02
  0.168311E+01 0.301000E+03 0.173494E+02
  0.169189E+01 0.381000E+03 0.195192E+02
  0.170068E+01 0.373000E+03 0.193132E+02
  0.170947E+01 0.411000E+03 0.202731E+02
  0.171826E+01 0.405000E+03 0.201246E+02
  0.172705E+01 0.324000E+03 0.180000E+02
  0.173584E+01 0.290000E+03 0.170294E+02
  0.174463E+01 0.299000E+03 0.172916E+02
  0.175342E+01 0.313000E+03 0.176918E+02
  0.176221E+01 0.351000E+03 0.187350E+02
  0.177100E+01 0.368000E+03 0.191833E+02
  0.177979E+01 0.282000E+03 0.167929E+02
  0.178857E+01 0.314000E+03 0.177200E+02
  0.179736E+01 0.354000E+03 0.188149E+02
  0.180615E+01 0.416000E+03 0.203961E+02
  0.181494E+01 0.385000E+03 0.196214E+02
  0.182373E+01 0.310000E+03 0.176068E+02
  0.183252E+01 0.319000E+03 0.178606E+02
  0.184131E+01 0.365000E+03 0.191050E+02
  0.185010E+01 0.366000E+03 0.191311E+02
  0.185889E+01 0.360000E+03 0.189737E+02
  0.186768E+01 0.376000E+03 0.193907E+02
  0.187646E+01 0.357000E+03 0.188944E+02
  0.188525E+01 0.318000E+03 0.178326E+02
  0.189404E+01 0.391000E+03 0.197737E+02
  0.190283E+01 0.334000E+03 0.182757E+02
  0.191162E+01 0.327000E+03 0.180831E+02
  0.192041E+01 0.388000E+03 0.196977E+02
  0.192920E+01 0.432000E+03 0.207846E+02
  0.193799E+01 0.371000E+03 0.192614E+02
  0.194678E+01 0.336000E+03 0.183303E+02
  0.195557E+01 0.296000E+03 0.172047E+02
  0.196436E+01 0.338000E+03 0.183848E+02
  0.197314E+01 0.414000E+03 0.203470E+02
  0.198193E+01 0.396000E+03 0.198997E+02
  0.199072E+01 0.337000E+03 0.183576E+02
